GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-example,com.example.models,UserModel,0,31,0,0,0,14,0,9,0,9
jacoco-example,com.example.services,UserService,3,89,0,6,2,20,0,6,0,3
